Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Tuvalu,Baby Food,Offline,H,5/28/2010,669165933,6/27/2010,9925,$255.28,$159.42,"$2,533,654.00","$1,582,243.50","$951,410.50"
Central America and the Caribbean,Grenada,Cereal,Online,C,8/22/2012,963881480,9/15/2012,2804,$205.70,$117.11,"$576,782.80","$328,376.44","$248,406.36"
Europe,Russia,Office Supplies,Offline,L,5/2/2014,341417157,5/8/2014,1779,$651.21,$524.96,"$1,158,502.59","$933,903.84","$224,598.75"
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,6/20/2014,514321792,7/5/2014,8102,$9.33,$6.92,"$75,591.66","$56,065.84","$19,525.82"
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2/1/2013,115456712,2/6/2013,5062,$651.21,$524.96,"$3,296,425.02","$2,657,347.52","$639,077.50"
Australia and Oceania,Solomon Islands,Baby Food,Online,C,2/4/2015,547995746,2/21/2015,2974,$255.28,$159.42,"$759,202.72","$474,115.08","$285,087.64"
Sub-Saharan Africa,Angola,Household,Offline,M,4/23/2011,135425221,4/27/2011,4187,$668.27,$502.54,"$2,798,046.49","$2,104,134.98","$693,911.51"
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,7/17/2012,871543967,7/27/2012,8082,$154.06,$90.93,"$1,245,112.92","$734,896.26","$510,216.66"
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,7/14/2015,770463311,8/25/2015,6070,$81.73,$56.67,"$496,101.10","$343,986.90","$152,114.20"
Sub-Saharan Africa,Senegal,Cereal,Online,H,4/18/2014,616607081,5/30/2014,6593,$205.70,$117.11,"$1,356,180.10","$772,106.23","$584,073.87"
Asia,Kyrgyzstan,Vegetables,Online,H,6/24/2011,814711606,7/12/2011,124,$154.06,$90.93,"$19,103.44","$11,275.32","$7,828.12"
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,8/2/2014,939825713,8/19/2014,4168,$109.28,$35.84,"$455,479.04","$149,381.12","$306,097.92"
